address,slice_amount
0x2dCa7bF37C703e685b8ffC2985F6EE6c96a3F9eD,1429175992923505392062
0x2E6a4C895E3a466f86cc00d9f8B33A1eeCe3fc5a,0
0x2eA8E4c3768FDb6677548F8AF2FfDAA0BaC630BA,0
0x2EC8db4C68717b9101578a3760cD70D859587b43,0
0x30040b54554928929E94eD3f0b9282f666e950eD,0
0x3230a79C196958980f058D0DbD5e6A5Fd3EA1778,1498833331922965630043
0x354D6F97482C3e533bbdd3AdF65570B3D172C9aD,0
0x386e96E10447095A99B919DefC955C6D4835C279,0
0x39823aFE1590DbFA8091bE5f435853Cd73c41ae7,0
0x3de51076B07cA102ABF377a0718Fb377669C9be0,0
0x3e0cf03f718520F30300266dcF4DB50bA12d3331,0
0x3F3dEDd362020a229CcA78D19d535D6971fD667e,0
0x4059457092Cc3812d56676DF6A75fD21204Fbe2F,561472645196731443071
0x41c0F529F559c6A3ddc324Cd86A6D0c75b50c949,0
0x4284E75CbEf8F56c185d6C3bDc81969Be0F664E5,0
0x42b23bB838525D458F2B8109219eF45d229067B7,0
0x43050429EA94452b611bF09013A246179DcB3c57,0
0x43499038911cB4753595BbcD17170DC50123773D,0
0x457Ca8F72395CBd473eba421dd87544086434345,0
0x4A1c900Ee1042dC2BA405821F0ea13CfBADCAb7B,0
0x4e4842749E799B384601489f1653213d86C31E1B,0
0x4E62CF78dA0c0D97D06BA0b3E26cF695bbBc75b5,0
0x4E7A35E672256F854D4e0a8851CD7965b8B53D67,0
0x4e97DA0282BB922C4938bF6122F8e493D6FD6A20,0
0x4f38F2DA7720F1077A45b80E88c0A78C0144c136,0
0x4fdcD0496F4c2D3629C0741626DE74d24A683E50,5035844133028975302
0x516A0121671C709c4a37F6d9690E11bcCc5B36dA,39095534087698119907
0x51D679666D6A24653F1fAe57a8B1A04F69abAb99,0
0x555c929D0f0162B6A434d924865Cf10b667F98E2,0
0x56446712B219fcC34a5604f5E7AF5d50d65B6647,0
0x58A7049694AB77d9e0B6ac36f8045e085781B480,0
0x58d4F668F37CA6D3667d0A4EbbAcC3f29D4B3beF,0
0x5909947Bace5Eb03280F3B9D198ce9Db26d94492,0
0x5976fec487B0640e97BB0Aa67a4AD81D76C6AA77,0
0x5999865518C9de250b820762130FF7A7119A4558,0
0x59AB3cb9CA8B7910Ba2D137A138B69bbF85bDf28,0
0x5e01f5ce73fcB34B51592F4138A38c7d51e10362,0
0x5E03b07aE157EE1CA5BF2F3CBE5BC8dc38F3e965,0
0x62373a7d753ECea3Eef5d2EdCD8C4bE4E40CE0f9,0
0x63BB46461696416Fac820Bf871375274d97b128e,0
