address,balance
0x3e541DE9da4dCC73c7Cfd225D4dA6f232D758393,3538978562460015188928
0x4059457092Cc3812d56676DF6A75fD21204Fbe2F,3298216943502438733889
0x40aED6E410a780154a4dCF62c37dD8Ba54F08FfE,30007670000000000000000
0x4188c45B8dfC8998Ceee2398e746deC2797B0961,150000000000000000000000
0x41c0F529F559c6A3ddc324Cd86A6D0c75b50c949,398471200000000000000
0x42556f667Dfc74704914F98d1e0c0aC4Ea2f492e,29400000000000000000000
0x427197B1FB076c110f5d2bae24Fb05FED97C0456,299045092073811012097
0x4281579D99d855F2430C95a13720e53a0fCC0549,475000000000000000000000
0x4282Ec9835edad61b9A58Fa02b78369D0978C430,9400000000000000000000
0x4284E75CbEf8F56c185d6C3bDc81969Be0F664E5,371931857759139352661
0x43050429EA94452b611bF09013A246179DcB3c57,299950000000000000000
0x43079513eBD84AFb15BE79021C420Fe8055Bc635,886852807234500000000
0x44aFfd16cc53Ffb96E40c3caeF33261600DeF1AA,1650000000000000000000
0x4539f999Feeae247BDE0EcBb406f70EdF56e576B,229099125599170624566
0x461F635488972409981EDbD043834dbaA7239FA6,600000000000000000000000
0x477c8ece9393713D258169Aa50cDaF27E422214d,11756936271391128832815
0x4796E4aFD565e43B7267F1688ec09B6A246cB5fc,20453485433164208710526
0x4929f4d38F2955649b5aa34343da04cf790B9D92,30510753343708391067876
0x4998976bDd0E873b586843b9EEb5d58a4E3B78a4,16140147491985556793965
0x49e2a5Af17fb2b37a0FF460217dC7A9FF4F34f90,435817451105238977553
0x4c32f7CE77908124862f59055Cdf1bda71861D5B,159573260813160034154
0x4D04EB67A2D1e01c71FAd0366E0C200207A75487,30455400000000000000000
0x4e4842749E799B384601489f1653213d86C31E1B,663000000000000000000
0x4E62CF78dA0c0D97D06BA0b3E26cF695bbBc75b5,295622499999881751000
0x4E7A35E672256F854D4e0a8851CD7965b8B53D67,7500000000000000000
0x4e97DA0282BB922C4938bF6122F8e493D6FD6A20,920479960978865789040
0x4f38F2DA7720F1077A45b80E88c0A78C0144c136,359644396768124638199
0x50bE72F4DAc794D00f84786dc414F0107F6F972B,12778393429301580943740
0x513AeDacE44cc9a0724CA276a8CeeeE950903576,7786096615368872146521
0x519A0dF0Bd2b586b6F7126799c30A243E13ABCbe,22527287319582560000000
0x52876dAFDc67238390477Bb2403BdC8021944ddc,12913710000000000000000
0x542256Ef33279C5545AA71f4b3B6298990f30Ffc,4627450000000000000000
0x555c929D0f0162B6A434d924865Cf10b667F98E2,504986423866404500000
0x56446712B219fcC34a5604f5E7AF5d50d65B6647,9950000000000000000
0x56FcfEb7D7Afa46C9aA58F08a04Fbb11Eb27808C,28638665370739765625113
0x58E603d9824976F7a3940C6B408F0Ffa523a216C,1270283492274110034919
0x5976fec487B0640e97BB0Aa67a4AD81D76C6AA77,922498715794946763272
0x59AB3cb9CA8B7910Ba2D137A138B69bbF85bDf28,1575422700000000000000
0x5b0D3243c78fB9d4AC035fB2384FFdf7A9eF6396,7477844938641944898860
0x5c2cF283C3baCB15b3137d5E8af30643b33189b0,1263092028009810316543
0x5C7a20b1EFa9A2aB5F448b651Aa264F233076C4C,101407606243601269871260
0x5d47e5D242a8F66a6286b0a2353868875F5d6068,4242250000000000000000
0x5dA68351bD082aBDA73E42Ac981dB51d9364fe69,278966215883755923711
0x5e01f5ce73fcB34B51592F4138A38c7d51e10362,116055842170320000000
