account,amount
0x427197B1FB076c110f5d2bae24Fb05FED97C0456,55484061860426821518
0x4281579D99d855F2430C95a13720e53a0fCC0549,16820524600354221412948
0x4282Ec9835edad61b9A58Fa02b78369D0978C430,332869328933325644803
0x4284E75CbEf8F56c185d6C3bDc81969Be0F664E5,69007286027212443667
0x43050429EA94452b611bF09013A246179DcB3c57,55651956163611934166
0x43079513eBD84AFb15BE79021C420Fe8055Bc635,164544402573064106667
0x44aFfd16cc53Ffb96E40c3caeF33261600DeF1AA,58429190717019927013
0x4539f999Feeae247BDE0EcBb406f70EdF56e576B,42506466060899710917
0x461F635488972409981EDbD043834dbaA7239FA6,21246978442552700732145
0x477c8ece9393713D258169Aa50cDaF27E422214d,979655566002585501762
0x4796E4aFD565e43B7267F1688ec09B6A246cB5fc,3794887396964593419265
0x4929f4d38F2955649b5aa34343da04cf790B9D92,1080435530933024861775
0x4998976bDd0E873b586843b9EEb5d58a4E3B78a4,571548943036396940520
0x49e2a5Af17fb2b37a0FF460217dC7A9FF4F34f90,80860455690101173753
0x4c32f7CE77908124862f59055Cdf1bda71861D5B,29606814854671099465
0x4D04EB67A2D1e01c71FAd0366E0C200207A75487,1078475378765532536462
0x4e4842749E799B384601489f1653213d86C31E1B,123011325009083888490
0x4E62CF78dA0c0D97D06BA0b3E26cF695bbBc75b5,54849042877048802200
0x4E7A35E672256F854D4e0a8851CD7965b8B53D67,1391530825894614266
0x4e97DA0282BB922C4938bF6122F8e493D6FD6A20,32595696479532854309
0x4f38F2DA7720F1077A45b80E88c0A78C0144c136,12735594575195357303
0x50bE72F4DAc794D00f84786dc414F0107F6F972B,452503749538046281386
0x513AeDacE44cc9a0724CA276a8CeeeE950903576,1444612460490600844537
0x519A0dF0Bd2b586b6F7126799c30A243E13ABCbe,797727980080602441589
0x52876dAFDc67238390477Bb2403BdC8021944ddc,457295529972295394952
0x542256Ef33279C5545AA71f4b3B6298990f30Ffc,858565242704804283249
0x555c929D0f0162B6A434d924865Cf10b667F98E2,93693890062451404063
0x56446712B219fcC34a5604f5E7AF5d50d65B6647,1846097562353521402
0x56FcfEb7D7Afa46C9aA58F08a04Fbb11Eb27808C,1014141842925980581911
0x58E603d9824976F7a3940C6B408F0Ffa523a216C,44982809960464293471
0x5976fec487B0640e97BB0Aa67a4AD81D76C6AA77,32667183879629640812
0x59AB3cb9CA8B7910Ba2D137A138B69bbF85bDf28,292299900115216386322
0x5b0D3243c78fB9d4AC035fB2384FFdf7A9eF6396,879251456412075992843
0x5c2cF283C3baCB15b3137d5E8af30643b33189b0,44728148483474353081
0x5C7a20b1EFa9A2aB5F448b651Aa264F233076C4C,3591008706281114732690
0x5d47e5D242a8F66a6286b0a2353868875F5d6068,150224990496531991134
0x5dA68351bD082aBDA73E42Ac981dB51d9364fe69,9878648625137774868
0x5e01f5ce73fcB34B51592F4138A38c7d51e10362,4109726627875146135
0x5E03b07aE157EE1CA5BF2F3CBE5BC8dc38F3e965,182157428514151820943
0x60ab39Aab2bCA84A9099CEBC89523C10FcBb12b0,75695102063999585798
0x63d0333D160f9971FB898Df00627470Dd15c50a2,3895279381134661800
0x64B7fcC8C17540139BDd84d00c7261035602Cb66,4175135777393103318483
0x6593f0DC654597A5Bf2f78224FEEF81a545C1222,25292046823846061626
0x65B0F840ea292fc284C23Fc839e65b3951d46195,52638082402250099072
0x668bfb5ecD91dd69E04200adA34162a19D23E033,35428860711663010268
0x66d0E180af64fb368679F91765Affc99174396AC,209546801510121011841
0x67017BEbE2A4B8645B28F83D5D472618b35a1230,1123165756935882421851
0x67e326eD4972650FbC9541b81A57dED004f3e4Ee,674917161730920214354
0x68F18759e83a21dA121E134949103bf5F0737073,8724333991890837938244
0x68FE88060ac8772d9ec7F40deb535c4873260F8A,7082326147517566910715
0x6a1a3eCd04DF0fF2d7cb25584052CDD173fC609B,11818697635156151160
